Date,Charger Type,Charges per Day,Energy Delivered (kWh),Revenue per Session (₹),Avg Time per Charge (min),Charger Utilization Rate (%),Energy Source,% Renewable Energy Used,CO₂ Saved (kg),ICE Kilometers Avoided,Fuel Avoided (liters),Carbon Offset Potential (tonnes),Equivalent Trees Planted
5/7/2025,DC Fast,7,69.21,20.79,51,77,Grid,12,44.5,330.49,22.03,0.04,2.04
5/8/2025,Portable Gen,11,150.1,18.39,24,99,Grid,4,69.79,569.71,37.98,0.07,3.21
5/9/2025,Portable Gen,37,251.82,26.4,51,89,Solar,68,140.12,1104.87,73.66,0.14,6.44
5/10/2025,Level 2,26,267.49,26.49,39,55,Solar,19,166.94,1108.55,73.9,0.17,7.67
5/11/2025,DC Fast,35,346.84,14.82,25,60,Grid,15,232.56,1428.16,95.21,0.23,10.68
5/12/2025,Level 1,20,125.87,23.26,50,86,Grid,23,55.89,616.72,41.11,0.06,2.57
5/13/2025,DC Fast,19,156.19,27.58,53,90,Solar,49,101.44,684.09,45.61,0.1,4.66
5/14/2025,Portable Gen,29,397.56,28.36,52,91,Grid,29,245.38,1648.23,109.88,0.25,11.27
5/15/2025,DC Fast,39,257.1,29.67,58,87,Grid,4,119.64,996.74,66.45,0.12,5.5
5/16/2025,Level 2,8,93.88,27.12,27,67,Solar,84,41.15,325.66,21.71,0.04,1.89
5/17/2025,DC Fast,6,84.34,12.93,41,52,Grid,6,49.67,404.8,26.99,0.05,2.28
5/18/2025,DC Fast,39,289.29,34.38,53,86,Grid,10,201.37,1335.55,89.04,0.2,9.25
5/19/2025,Level 2,49,352.94,17.36,25,83,Grid,12,160.83,1758.95,117.26,0.16,7.39
5/20/2025,Level 1,22,169.86,48.68,47,63,Solar,62,83.79,632.3,42.15,0.08,3.85
5/21/2025,Wall Box,50,714.35,42.12,51,67,Solar,73,479.49,3552.9,236.86,0.48,22.03
5/22/2025,Level 1,25,326.11,35.62,44,78,Solar,45,159.67,1291.92,86.13,0.16,7.33
5/23/2025,Level 2,16,145.94,42.73,36,83,Grid,29,66.36,665.53,44.37,0.07,3.05
5/24/2025,Level 2,36,333.03,37.14,54,72,Grid,20,190.79,1314.87,87.66,0.19,8.76
5/25/2025,Level 1,38,518.87,28.5,33,75,Grid,2,225.35,1779.06,118.6,0.23,10.35
5/26/2025,Level 1,13,189.39,12.22,42,94,Grid,12,120.55,830.44,55.36,0.12,5.54
5/27/2025,DC Fast,48,700.56,14.48,56,58,Solar,19,423.59,2369.29,157.95,0.42,19.46
5/28/2025,Portable Gen,48,652.23,41.2,44,92,Solar,88,317.71,2128.25,141.88,0.32,14.59
5/29/2025,Wall Box,35,492.27,41.73,28,88,Solar,70,321.15,1502.55,100.17,0.32,14.75
5/30/2025,Level 1,21,238.02,31.77,24,91,Grid,14,102.7,728.22,48.55,0.1,4.72
5/31/2025,Level 2,5,65.56,43.15,59,93,Grid,17,35.59,294.73,19.65,0.04,1.63
6/1/2025,Portable Gen,49,281.97,45.24,27,66,Solar,20,152.96,893.79,59.59,0.15,7.03
6/2/2025,Portable Gen,12,86.27,13.03,50,65,Grid,0,36.72,406.51,27.1,0.04,1.69
6/3/2025,Wall Box,47,264.3,19.98,33,68,Grid,12,126.13,1253.46,83.56,0.13,5.79
6/4/2025,Wall Box,37,313.4,48.86,60,52,Grid,5,193.46,971.96,64.8,0.19,8.89
6/5/2025,Level 1,43,394.43,28.82,33,77,Solar,96,176.44,1720.46,114.7,0.18,8.1
6/6/2025,DC Fast,26,280.74,33.23,36,71,Grid,10,130.64,1003.98,66.93,0.13,6
6/7/2025,DC Fast,36,346.98,32.32,29,54,Solar,73,239.15,1637.98,109.2,0.24,10.99
6/8/2025,Portable Gen,16,128.97,19.73,57,69,Grid,2,78.76,474.27,31.62,0.08,3.62
6/9/2025,Portable Gen,39,557.51,44.16,45,61,Solar,18,276.25,2062.59,137.51,0.28,12.69
6/10/2025,Portable Gen,26,349.67,49.23,37,71,Grid,2,238.72,1721.44,114.76,0.24,10.97
6/11/2025,Portable Gen,43,392.01,30.57,32,72,Grid,14,165.98,1568.02,104.53,0.17,7.62
6/12/2025,Wall Box,27,190.42,34.57,46,79,Grid,0,105.38,903.81,60.25,0.11,4.84
6/13/2025,Level 1,6,42.96,13.5,27,59,Grid,4,17.79,182.02,12.13,0.02,0.82
6/14/2025,Level 2,48,512.7,24.6,40,70,Solar,34,301.3,2450.3,163.35,0.3,13.84
6/15/2025,Portable Gen,48,246.34,23.29,39,73,Grid,21,167.91,782.76,52.18,0.17,7.71
6/16/2025,Level 2,6,77.68,47.36,35,84,Grid,24,51.68,252.52,16.83,0.05,2.37
6/17/2025,Level 1,46,252.81,40.23,57,75,Solar,31,136.43,1242.52,82.83,0.14,6.27
6/18/2025,Level 2,19,181.35,11.96,20,88,Grid,20,92.22,804.53,53.64,0.09,4.24
6/19/2025,Wall Box,30,151.52,39.52,24,65,Grid,20,67.71,653.91,43.59,0.07,3.11
6/20/2025,Level 2,26,144.01,17.89,42,58,Grid,22,59.83,537.08,35.81,0.06,2.75
6/21/2025,Portable Gen,17,131.27,18.48,43,66,Grid,10,88.01,508.86,33.92,0.09,4.04
6/22/2025,Portable Gen,21,247.12,48.02,20,54,Grid,23,163.54,824.64,54.98,0.16,7.51
6/23/2025,Portable Gen,9,83.43,44.88,32,50,Grid,10,47.54,264.09,17.61,0.05,2.18
6/24/2025,DC Fast,5,32.66,46.03,40,79,Grid,29,22.79,161.29,10.75,0.02,1.05
6/25/2025,Level 2,50,268.16,37.73,23,79,Grid,1,116.64,998.03,66.54,0.12,5.36
6/26/2025,Level 2,24,214.43,11.22,30,61,Solar,63,139.5,825.08,55.01,0.14,6.41
6/27/2025,Level 1,35,245.95,43.9,40,90,Grid,6,149.77,932.56,62.17,0.15,6.88
6/28/2025,Wall Box,15,120.2,35.74,45,82,Grid,17,50.78,463.83,30.92,0.05,2.33
6/29/2025,Level 2,36,329.43,17.15,33,99,Grid,1,207.98,1345.05,89.67,0.21,9.55
6/30/2025,Level 1,5,26.51,45.82,33,67,Solar,96,13.19,121.66,8.11,0.01,0.61
7/1/2025,Portable Gen,47,630.03,14.35,35,74,Grid,22,422.3,2819.19,187.95,0.42,19.4
7/2/2025,Wall Box,13,164.3,40.57,40,61,Grid,24,72.04,525.56,35.04,0.07,3.31
7/3/2025,Portable Gen,37,544.72,10.43,59,55,Grid,8,218.58,1823.31,121.55,0.22,10.04
7/4/2025,Level 2,35,316.38,34.79,29,83,Grid,22,135.9,1395.06,93,0.14,6.24
7/5/2025,Wall Box,11,83.48,40.2,28,71,Grid,2,40.33,317.43,21.16,0.04,1.85
7/6/2025,Wall Box,43,388.87,29.08,34,93,Grid,22,265.24,1187.41,79.16,0.27,12.18
7/7/2025,Wall Box,5,56.39,48.99,51,51,Grid,0,36.94,216.49,14.43,0.04,1.7
7/8/2025,DC Fast,7,103.67,46.85,59,86,Grid,2,51.83,428.31,28.55,0.05,2.38
7/9/2025,Level 2,49,356.3,21.97,26,93,Solar,51,219.02,1275.2,85.01,0.22,10.06
7/10/2025,Level 2,43,254.5,23.6,27,58,Grid,6,111.98,1247.26,83.15,0.11,5.14
7/11/2025,Level 2,46,353.15,18.75,40,52,Grid,15,207.6,1329.62,88.64,0.21,9.54
7/12/2025,Portable Gen,43,252.67,48.77,33,69,Grid,10,107.85,1011.41,67.43,0.11,4.95
7/13/2025,DC Fast,29,224.55,11.88,28,52,Grid,7,121.26,822.03,54.8,0.12,5.57
7/14/2025,Level 1,40,268.78,38.64,29,51,Grid,17,134.32,1284.07,85.6,0.13,6.17
7/15/2025,DC Fast,13,118.34,15.65,26,76,Solar,14,48.42,566.41,37.76,0.05,2.22
7/16/2025,Wall Box,43,234.87,15,59,61,Grid,21,123.15,1001.05,66.74,0.12,5.66
7/17/2025,Level 2,22,141.19,18.89,21,93,Grid,27,81.65,446.1,29.74,0.08,3.75
7/18/2025,Portable Gen,38,310.07,12.89,57,63,Solar,66,187.97,1423.6,94.91,0.19,8.63
7/19/2025,Level 2,18,92.68,43.11,57,86,Grid,0,60.19,331.94,22.13,0.06,2.76
7/20/2025,Level 2,15,110.46,16.08,53,98,Grid,10,73.51,415.68,27.71,0.07,3.38
7/21/2025,Portable Gen,36,341.1,47.87,58,96,Solar,33,236.22,1103.71,73.58,0.24,10.85
7/22/2025,Wall Box,19,187.64,40.83,25,50,Grid,23,105.23,721.53,48.1,0.11,4.83
7/23/2025,Wall Box,14,194.73,46.86,38,80,Solar,48,99.11,839.2,55.95,0.1,4.55
7/24/2025,Portable Gen,16,171.97,36.91,31,64,Grid,13,103.77,657.02,43.8,0.1,4.77
7/25/2025,DC Fast,11,94.8,45.57,26,90,Solar,38,65.63,336.17,22.41,0.07,3.01
7/26/2025,Wall Box,6,50.26,11.25,48,88,Grid,22,28.15,237.39,15.83,0.03,1.29
7/27/2025,Level 1,14,101.99,27.46,32,50,Solar,68,41.64,366.02,24.4,0.04,1.91
7/28/2025,DC Fast,28,229.86,37.84,42,54,Grid,18,98.11,901.63,60.11,0.1,4.51
7/29/2025,Level 2,17,228.96,43.34,35,70,Grid,17,98.66,904.24,60.28,0.1,4.53
7/30/2025,DC Fast,34,277.57,12.94,21,72,Grid,4,112.73,1026.09,68.41,0.11,5.18
7/31/2025,Level 1,45,381.75,42.25,42,80,Grid,27,165.91,1820.51,121.37,0.17,7.62
8/1/2025,Level 2,27,220.75,18.2,36,97,Solar,64,137.5,794.03,52.94,0.14,6.32
8/2/2025,Level 1,29,330.21,38.47,20,76,Solar,40,229.92,1499.86,99.99,0.23,10.56
8/3/2025,Portable Gen,32,425.49,16.29,35,81,Solar,84,251.31,1365.95,91.06,0.25,11.54
8/4/2025,Portable Gen,7,94.72,28.54,56,54,Grid,17,42.92,392.8,26.19,0.04,1.97
8/5/2025,DC Fast,5,56.22,30.36,42,85,Grid,7,30.95,245.29,16.35,0.03,1.42
8/6/2025,Level 1,42,218.12,24.36,59,98,Grid,9,91.3,981.41,65.43,0.09,4.19
8/7/2025,DC Fast,49,291.93,42.13,23,79,Grid,25,175.97,894.27,59.62,0.18,8.08
8/8/2025,Level 1,47,592.79,16.48,38,71,Grid,22,350.33,2068.54,137.9,0.35,16.09
8/9/2025,Level 1,47,248.61,22.27,33,68,Grid,28,105.91,809.18,53.95,0.11,4.86
8/10/2025,DC Fast,32,450.87,31.89,24,76,Grid,23,228.4,1644.36,109.62,0.23,10.49
8/11/2025,Wall Box,5,34.59,30.28,22,100,Grid,20,14.75,132.74,8.85,0.01,0.68
8/12/2025,Level 1,35,329.36,12.39,20,79,Grid,29,164.45,1386.33,92.42,0.16,7.55
8/13/2025,DC Fast,26,382.59,10.72,22,62,Grid,18,230.13,1438.05,95.87,0.23,10.57
8/14/2025,Wall Box,45,642.79,31.35,47,60,Grid,25,308.69,2851.74,190.12,0.31,14.18
8/15/2025,Level 1,47,354.4,22.66,31,70,Solar,50,241.26,1416.58,94.44,0.24,11.08
8/16/2025,Portable Gen,47,347.77,17,56,62,Grid,0,228.81,1181.8,78.79,0.23,10.51
8/17/2025,Portable Gen,30,205.23,20.48,34,66,Grid,13,114.1,633.01,42.2,0.11,5.24
8/18/2025,Portable Gen,31,157.15,47.67,58,70,Grid,5,64.05,625.56,41.7,0.06,2.94
8/19/2025,Portable Gen,8,52.11,32.5,36,62,Solar,99,26.46,182.21,12.15,0.03,1.22
8/20/2025,DC Fast,11,144.8,25.04,58,65,Solar,53,66.59,712.02,47.47,0.07,3.06
8/21/2025,Level 2,20,147.4,16.59,21,91,Grid,8,68.28,630.23,42.02,0.07,3.14
8/22/2025,Wall Box,36,323.79,42.12,37,62,Grid,24,134.67,1238.03,82.54,0.13,6.19
8/23/2025,Level 2,42,272.03,18.87,51,70,Solar,25,173.78,1313.82,87.59,0.17,7.98
8/24/2025,Wall Box,16,195.05,22.39,46,81,Grid,6,104.24,716,47.73,0.1,4.79
8/25/2025,DC Fast,25,316.71,11.39,51,68,Grid,25,210.01,1384.76,92.32,0.21,9.65
8/26/2025,Level 2,15,211.1,24.22,32,70,Grid,22,135.39,696.26,46.42,0.14,6.22
8/27/2025,Level 1,20,299.26,46.57,33,97,Grid,16,178.64,949.11,63.27,0.18,8.21
8/28/2025,Level 1,29,358.03,44.3,44,93,Grid,7,186.07,1387.97,92.53,0.19,8.55
8/29/2025,Level 1,41,523.46,16.24,54,98,Grid,18,233.61,2105.16,140.34,0.23,10.73
8/30/2025,Level 1,20,130.51,28.31,60,61,Grid,9,84.16,398.83,26.59,0.08,3.87
8/31/2025,Portable Gen,29,267.91,42.6,45,66,Grid,9,175.73,889.09,59.27,0.18,8.07
9/1/2025,Portable Gen,24,251.45,38.12,37,100,Solar,10,134.39,1217.09,81.14,0.13,6.17
9/2/2025,Level 1,50,660.67,49.66,36,59,Grid,13,458.56,2675.25,178.35,0.46,21.06
9/3/2025,Level 1,45,650.56,33.18,35,88,Grid,28,281.37,3047.28,203.15,0.28,12.92
9/4/2025,DC Fast,6,39.6,27.15,32,93,Grid,6,19.98,139.66,9.31,0.02,0.92
9/5/2025,DC Fast,19,96.9,38.74,27,69,Grid,10,62.05,426.58,28.44,0.06,2.85
9/6/2025,Portable Gen,24,156.86,40.36,46,95,Grid,7,100.57,700.92,46.73,0.1,4.62
9/7/2025,Level 2,23,284.4,18.12,45,85,Grid,13,168.79,928.92,61.93,0.17,7.75
9/8/2025,Level 1,34,398.99,42.93,59,72,Grid,3,234.28,1223.55,81.57,0.23,10.76
9/9/2025,Level 1,17,222.56,46.27,24,56,Grid,26,95.46,1062.69,70.85,0.1,4.38
9/10/2025,Portable Gen,47,448.19,34.18,55,63,Grid,1,207.63,2000.79,133.39,0.21,9.54
9/11/2025,DC Fast,20,163.6,31.34,28,53,Grid,15,89.29,790.96,52.73,0.09,4.1
9/12/2025,Portable Gen,17,112.24,49.87,52,59,Grid,15,46.06,493.31,32.89,0.05,2.12
9/13/2025,Portable Gen,7,56.44,22.29,50,78,Grid,23,37.44,234.18,15.61,0.04,1.72
9/14/2025,DC Fast,29,166.8,13.71,39,98,Solar,26,81.52,534.4,35.63,0.08,3.74
